name,district,population_thousands
קרני שומרון,אזור יהודה והשומרון,7.4
ראמה,הצפון,7.6
ראש פינה,הצפון,3.1
ריינה,הצפון,18.7
רכסים,חיפה,11.8
רמת ישי,הצפון,7.7
שבלי - אום אל-גנם,הצפון,5.9
שגב-שלום,הדרום,9.9
שוהם,המרכז,20.9
שלומי,הצפון,6.2
שעב,הצפון,6.8
תל מונד,המרכז,12.6
תל שבע,הדרום,19.7
אל קסום,הדרום,10.0
אל-בטוף,הצפון,7.8
אלונה,חיפה,2.3
אשכול,הדרום,13.9
באר טוביה,הדרום,23.1
בוסתן אל-מרג',הצפון,7.7
בני שמעון,הדרום,10.0
ברנר,המרכז,7.9
גדרות,המרכז,5.2
גולן,הצפון,17.0
גוש עציון,אזור יהודה והשומרון,23.5
גזר,המרכז,26.5
גן רווה,המרכז,6.1
דרום השרון,המרכז,32.7
הגלבוע,הצפון,29.9
הגליל העליון,הצפון,17.8
הגליל התחתון,הצפון,12.1
הערבה התיכונה,הדרום,3.3
הר חברון,אזור יהודה והשומרון,8.3
זבולון,חיפה,13.4
חבל אילות,הדרום,4.1
חבל יבנה,המרכז,7.0
חבל מודיעין,המרכז,23.4
חוף אשקלון,הדרום,17.1
חוף הכרמל,חיפה,30.8
חוף השרון,המרכז,15.1
יואב,הדרום,8.6
לב השרון,המרכז,23.6
לכיש,הדרום,11.4
מבואות החרמון,הצפון,7.2
מגידו,הצפון,11.6
מגילות ים המלח,אזור יהודה והשומרון,1.6
מטה אשר,הצפון,28.7
מטה בנימין,אזור יהודה והשומרון,65.4
מטה יהודה,ירושלים,56.6
מנשה,חיפה,19.8
מעלה יוסף,הצפון,10.5
מרום הגליל,הצפון,15.4
מרחבים,הדרום,13.7
משגב,הצפון,28.0
נווה מדבר,הדרום,9.1
נחל שורק,המרכז,9.2
עמק הירדן,הצפון,13.5
עמק המעיינות,הצפון,13.1
עמק חפר,המרכז,42.2
עמק יזרעאל,הצפון,38.0
עמק לוד,המרכז,15.0
ערבות הירדן,אזור יהודה והשומרון,4.9
רמת נגב,הדרום,7.6
שדות נגב,הדרום,10.3
שומרון,אזור יהודה והשומרון,41.1
שער הנגב,הדרום,8.0
שפיר,הדרום,11.0
תמר,הדרום,1.5
