Lampost,centerligh,lat,lon
16,262.0,31.249469538000028,34.82316024100004
15,262.0,31.249740622000047,34.82315842200006
25,262.0,31.249390874000028,34.82232390000007
20,262.0,31.248662250000052,34.82294420100004
22,262.0,31.248430975000076,34.82337296400004
21,262.0,31.248605326000074,34.823135542000045
24,262.0,31.24920356800004,34.822545742000045
23,262.0,31.249036008000076,34.822780814000055
18,262.0,31.248827551000034,34.82333166700005
40,262.0,31.24918901800004,34.823179786000026
11,128.0,31.24982383300005,34.81859476200003
15,128.0,31.249123809000025,34.81792419300007
16,128.0,31.248917921000043,34.817656820000025
17,128.0,31.248710406000043,34.81739431200003
18,128.0,31.248510323000062,34.817133743000056
40,262.0,31.251511496000035,34.82199955400006
7,262.0,31.251746798000056,34.822641684000075
41,262.0,31.251718460000063,34.822202126000036
2,262.0,31.25212502100004,34.82256376700008
14,262.0,31.24999107600007,34.823156976000064
13,262.0,31.25026004600005,34.82315570600008
20,128.0,31.248105786000053,34.81651309000006
116,127.0,31.256551122000076,34.81420939800006
121,127.0,31.255416500000024,34.814873746000046
122,127.0,31.255555222000055,34.81453442800006
123,127.0,31.255442153000047,34.814303755000026
124,127.0,31.255339999000057,34.81407646100007
115,127.0,31.256780220000053,34.81407117400005
114,127.0,31.257022352000035,34.81393389200008
101,127.0,31.256771663000052,34.81564582300007
99,127.0,31.25702413600004,34.81512812200003
40,128.0,31.253517488000057,34.814814402000025
,9999.0,31.24317440200008,34.81994937400003
34,127.0,31.253726423000046,34.814432718000035
32,127.0,31.254175211000074,34.81413887000008
31,127.0,31.254450175000045,34.813977419000025
29,127.0,31.25500323600005,34.81365234800006
28,127.0,31.25527743300006,34.81349111800006
27,127.0,31.255552114000068,34.81332942800003
24,127.0,31.256378785000038,34.81284508400006
22,127.0,31.256929420000063,34.812518143000034
39,128.0,31.25338973600003,34.81459545000007
38,128.0,31.25313514800007,34.81474042100007
37,128.0,31.252913527000032,34.814912227000036
36,128.0,31.252736423000044,34.81504972000005
34,128.0,31.252504291000037,34.81523686500003
33,128.0,31.25228724300007,34.81545982400007
32,128.0,31.252092662000052,34.815701939000064
31,128.0,31.251901343000043,34.815951262000056
35,128.0,31.25251770600005,34.81503520600006
29,128.0,31.25153107700004,34.81646924100005
30,128.0,31.251712643000076,34.816207923000036
